Run,date,team,description,paper,code,nDCG@100,Info-Type F1 [Actionable],Info-Type F1 [All],Info-Type Accuracy,Priority F1 [Actionable],Priority F1 [All],Priority R [Actionable],Priority R [All] 
0rule_run,2021/06/01,baseline,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.3105,0.0000,0.0056,0.8673,0.0465,0.1360,0.0000,0.0000 
random_run,2021/06/01,baseline,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.3287,0.0577,0.1408,0.5001,0.2136,0.2326,0.0153,0.0178 
njit_bert,2021/06/01,njit,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.4745,0.2346,0.2640,0.8181,0.1791,0.1641,0.0797,0.2353 
njit_roberta,2021/06/01,njit,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.4933,0.3138,0.3341,0.8644,0.2203,0.2035,0.2204,0.2640 
RB_2T_MT_H_280,2021/06/01,rb,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.4925,0.2857,0.3065,0.8917,0.2377,0.2742,0.2139,0.2313 
RB_2T_TT_280_SVM,2021/06/01,rb,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.3019,0.2679,0.3240,0.8905,0.0655,0.1276,0.0229,-0.0024 
RB_2T_TTH_256_LR5,2021/06/01,rb,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.3678,0.1758,0.2923,0.8931,0.2042,0.2401,0.1001,0.0908 
RB_2Tx2_TTH_280,2021/06/01,rb,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.5410,0.2996,0.3280,0.8870,0.2437,0.2592,0.2603,0.2425 
sienaRun,2021/06/01,siena,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.4285,0.1861,0.3108,0.8565,0.0864,0.1609,0.0231,0.1099 
ucdcs-run1,2021/06/01,ucdcs,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.5564,0.3057,0.3369,0.8841,0.2612,0.2966,0.2107,0.2967 
ucdcs-run2,2021/06/01,ucdcs,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.5579,0.2845,0.3393,0.8828,0.2410,0.2845,0.1646,0.2906 
ucdcs-run3,2021/06/01,ucdcs,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.5441,0.3287,0.3464,0.8858,0.2242,0.2970,0.1977,0.2648 
ucdcs-run4,2021/06/01,ucdcs,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.5525,0.0224,0.0615,0.7682,0.2517,0.2825,0.2159,0.2982 
uogTr-01-pw,2021/06/01,uog,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.3561,0.0920,0.2203,0.8841,0.0575,0.1139,0.0514,0.0508 
uogTr-02-pwcoocc,2021/06/01,uog,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.3551,0.1884,0.3140,0.8847,0.0575,0.1139,0.0514,0.0508 
uogTr-04-coocc,2021/06/01,uog,Test description,http://dcs.gla.ac.uk/~richardm/TREC_IS/2018/Papers/TREC_IS_2018_ISCRAM.pdf,,0.3552,0.1884,0.3090,0.8857,0.0575,0.1139,0.0514,0.0508 
